Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
Mercedes Benz EQS,2022.0,3430,Hà Nội,Ban xe oto cu Mercedes Benz EQS 2022 580 4Matic gia 3 Tỷ 430 Triệu - Hà Nội,11000.0
McLaren 720S,2018.0,12500,Hà Nội,Ban xe oto cu McLaren 720S 2018 4.0 V8 gia 12 Tỷ 500 Triệu - Hà Nội,18000.0
Mitsubishi Pajero Sport,2019.0,615,Hà Nội,Ban xe oto cu Mitsubishi Pajero Sport 2019 2.4D 4x2 MT gia 615 Triệu - Hà Nội,7000.0
Honda CRV,2019.0,680,Hà Nội,Ban xe oto cu Honda CRV 2019 L gia 680 Triệu - Hà Nội,10000.0
Audi A5,2017.0,959,TP HCM,Ban xe oto cu Audi A5 2017 Sportback 2.0 gia 959 Triệu - TP HCM,83000.0
Mercedes Benz C class,2019.0,969,TP HCM,Ban xe oto cu Mercedes Benz C class 2019 C300 AMG gia 969 Triệu - TP HCM,68000.0
BMW 7 Series,2015.0,1199,TP HCM,Ban xe oto cu BMW 7 Series 2015 740Li gia 1 Tỷ 199 Triệu - TP HCM,71000.0
Hyundai Accent,2025.0,455,Hải Phòng,Ban xe oto cu Hyundai Accent 2025 1.5 AT gia 455 Triệu - Hải Phòng,32000.0
VinFast Fadil,2021.0,285,Hải Phòng,Ban xe oto cu VinFast Fadil 2021 1.4 AT gia 285 Triệu - Hải Phòng,59000.0
Mercedes Benz E class,2021.0,1278,TP HCM,Ban xe oto cu Mercedes Benz E class 2021 E200 Exclusive gia 1 Tỷ 278 Triệu - TP HCM,42000.0
VinFast VF5,2026.0,455,Hà Nội,Ban xe oto VinFast VF5 2026 Plus gia 455 Triệu - Hà Nội,0.0
LandRover Range Rover,2020.0,7900,Hà Nội,Ban xe oto cu LandRover Range Rover 2020 SVAutobiography LWB 3.0 I6 gia 7 Tỷ 900 Triệu - Hà Nội,55038.0
Porsche Panamera,2021.0,5150,Hà Nội,Ban xe oto cu Porsche Panamera 2021 4 Executive gia 5 Tỷ 150 Triệu - Hà Nội,40000.0
Mercedes Benz G class,2020.0,6886,Hà Nội,Ban xe oto cu Mercedes Benz G class 2020 G63 AMG gia 6 Tỷ 886 Triệu - Hà Nội,60000.0
Toyota Innova,2025.0,815,Hà Nội,Ban xe oto Toyota Innova 2025 Cross 2.0 CVT gia 815 Triệu - Hà Nội,
BMW X7,2025.0,5999,Hà Nội,Ban xe oto BMW X7 2025 xDrive40i M Sport gia 5 Tỷ 999 Triệu - Hà Nội,
Ford Transit,2022.0,515,TP HCM,Ban xe oto cu Ford Transit 2022 Van gia 515 Triệu - TP HCM,0.0
Chevrolet Colorado,2016.0,365,TP HCM,Ban xe oto cu Chevrolet Colorado 2016 High Country 2.8L 4x4 AT gia 365 Triệu - TP HCM,100000.0
Porsche Macan,2021.0,2588,TP HCM,Ban xe oto cu Porsche Macan 2021 2.0 gia 2 Tỷ 588 Triệu - TP HCM,51000.0
Mercedes Benz GLC,2021.0,1435,Hải Phòng,Ban xe oto cu Mercedes Benz GLC 2021 300 4Matic gia 1 Tỷ 435 Triệu - Hải Phòng,64000.0
Peugeot,2008.0,565,Hải Phòng,Ban xe oto cu Peugeot 2008 2022 Active 1.2 AT gia 565 Triệu - Hải Phòng,41000.0
Mazda CX5,2024.0,745,Hải Phòng,Ban xe oto cu Mazda CX5 2024 Luxury 2.0 AT gia 745 Triệu - Hải Phòng,6000.0
Mazda 6,2022.0,665,Hải Phòng,Ban xe oto cu Mazda 6 2022 Premium 2.0 AT gia 665 Triệu - Hải Phòng,50000.0
MG ZS,2025.0,535,Hải Phòng,Ban xe oto cu MG ZS 2025 Luxury 1.5 AT 2WD gia 535 Triệu - Hải Phòng,5000.0
